source_file,row_index,simulation,routes,avg_waiting_time,avg_queue_time,routes_list
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,42,43,"['900', '272X']",1375.8986206757636,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,43,44,"['900', '272X']",1668.093403459705,63.80590094095269,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,44,45,"['900', '272X']",1182.335326135243,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,45,46,"['900', '272X']",817.9734806728104,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,46,47,"['900', '272X']",806.2576577201014,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,47,48,"['900', '272X']",837.618596265715,28.60092729835651,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,48,49,"['900', '272X']",0.0,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,49,50,"['900', '272X']",485.4572698634024,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,50,51,"['900', '272X']",2158.5471211402364,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,51,52,"['900', '272X']",1154.203982794604,1.6235014670091004,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,52,53,"['900', '272X']",1177.94961504807,49.65179466700929,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,53,54,"['900', '272X']",1486.957722119348,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,54,55,"['900', '272X']",638.7203586593964,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,55,56,"['900', '272X']",1886.693799804126,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,56,57,"['900', '272X']",1157.3405831262987,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,57,58,"['900', '272X']",1091.9868787545956,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,58,59,"['900', '272X']",2090.681881140373,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,59,60,"['900', '272X']",16.375741775806922,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,60,61,"['900', '272X']",1027.9699372806483,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,61,62,"['900', '272X']",795.9341819599142,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,62,63,"['900', '272X']",928.8473710179072,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,63,64,"['900', '272X']",1501.6328577420056,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,64,65,"['900', '272X']",2035.495101238644,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,65,66,"['900', '272X']",830.5424470892472,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,66,67,"['900', '272X']",1479.152841509195,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,67,68,"['900', '272X']",1248.337089043805,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,68,69,"['900', '272X']",1857.0308174101808,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,69,70,"['900', '272X']",776.8157772995664,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,70,71,"['900', '272X']",532.4067082242739,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,71,72,"['900', '272X']",1115.0351937706528,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,72,73,"['900', '272X']",1874.899482249623,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,73,74,"['900', '272X']",902.25668327045,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,74,75,"['900', '272X']",1257.7353577232827,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,75,76,"['900', '272X']",1698.0521063779534,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,76,77,"['900', '272X']",827.1882430400451,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,77,78,"['900', '272X']",1023.3667627422968,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,78,79,"['900', '272X']",1005.0605022807356,109.70591511925892,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,79,80,"['900', '272X']",1050.836109370345,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,80,81,"['900', '272X']",1883.392530630657,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,81,82,"['900', '272X']",1520.8693777659932,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,82,83,"['900', '272X']",1204.039584767644,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,83,84,"['900', '272X']",967.9211094755634,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,84,85,"['900', '272X']",2018.3275548612744,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,85,86,"['900', '272X']",1931.947771453781,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,86,87,"['900', '272X']",924.2315643164674,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,87,88,"['900', '272X']",1145.67836791394,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,88,89,"['900', '272X']",911.239201665976,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,89,90,"['900', '272X']",1763.037373312204,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,90,91,"['900', '272X']",1334.760967150709,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,91,92,"['900', '272X']",1233.2455044132855,89.46399358626643,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,92,93,"['900', '272X']",701.0773868527662,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,93,94,"['900', '272X']",858.4005007531408,72.28205649438655,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,94,95,"['900', '272X']",2199.433934553782,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,95,96,"['900', '272X']",921.975474376528,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,96,97,"['900', '272X']",1275.5039337517155,4.4531232501003615,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,97,98,"['900', '272X']",0.0,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,98,99,"['900', '272X']",815.1966321875119,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,99,100,"['900', '272X']",1543.400143272983,0.0,"['900', ' 272X']"
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,0,1,['A47X'],334.6099859534175,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,1,2,['A47X'],562.0939608278379,7.447371455373272,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,2,3,['A47X'],675.9986496272896,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,3,4,['A47X'],1037.529421417967,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,4,5,['A47X'],748.4025909468115,9.242635583592088,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,5,6,['A47X'],477.3686603404845,4.895089779438927,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,6,7,['A47X'],508.2540023537416,11.537347832099783,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,7,8,['A47X'],1509.8155436071568,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,8,9,['A47X'],677.1742120082702,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,9,10,['A47X'],2802.511106240937,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,10,11,['A47X'],1171.7768562898157,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,11,12,['A47X'],978.859018129624,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,12,13,['A47X'],1745.944367171827,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,13,14,['A47X'],498.0313264987776,26.836569547231548,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,14,15,['A47X'],710.8206625844125,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,15,16,['A47X'],495.3515757135151,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,16,17,['A47X'],1123.6156939043622,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,17,18,['A47X'],699.8709046039774,16.70612054660656,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,18,19,['A47X'],1463.4913618384005,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,19,20,['A47X'],412.8400183294329,3.829769302840284,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,20,21,['A47X'],734.5269044649087,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,21,22,['A47X'],1035.4840531726852,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,22,23,['A47X'],614.9754929413292,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,23,24,['A47X'],705.642346809894,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,24,25,['A47X'],470.1477107838349,9.261298211503831,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,25,26,['A47X'],660.9913689401109,6.911495517013293,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,26,27,['A47X'],810.3470955816339,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,27,28,['A47X'],702.630150363137,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,28,29,['A47X'],880.0956305261433,20.053574729347478,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,29,30,['A47X'],774.2104748189347,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,30,31,['A47X'],1529.8837065511343,158.69785273345238,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,31,32,['A47X'],798.1088463851038,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,32,33,['A47X'],692.0512035664443,15.46093288804093,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,33,34,['A47X'],965.8509128663828,21.12859405557037,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,34,35,['A47X'],645.2444064493434,28.637977995951047,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,35,36,['A47X'],459.2789465971426,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,36,37,['A47X'],1463.484341414318,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,37,38,['A47X'],950.0943940803804,61.37588092089906,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,38,39,['A47X'],1001.9396338233458,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,39,40,['A47X'],2075.146025008206,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,40,41,['A47X'],366.1479015307513,24.330103772951635,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,41,42,['A47X'],443.3499489324332,9.391251978053608,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,42,43,['A47X'],531.2956495928053,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,43,44,['A47X'],505.8375273385081,8.957565249786436,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,44,45,['A47X'],435.1119754914568,4.490857324597267,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,45,46,['A47X'],1818.5133345552076,0.0,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,46,47,['A47X'],434.0592796707401,8.134997205561728,['A47X']
simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,47,48,['A47X'],606.1837125699298,33.875653760964155,['A47X']
