simulation,routes,avg_waiting_time,avg_queue_time
1,['272A'],137.66126448298292,4.6230816767938
2,['272A'],131.23917641115236,4.443509090797603
3,['272A'],106.21951420071095,13.359898248042343
4,['272A'],162.1303809432012,18.865377379559106
5,['272A'],150.96936232223393,3.661261742256995
6,['272A'],152.66685712229508,20.98205641183113
7,['272A'],147.56791321986663,0.6707542194083193
8,['272A'],192.03578430725622,7.893160344071459
9,['272A'],144.1114732867804,17.303838316606562
10,['272A'],152.6291673937283,7.981231021105945
11,['272A'],162.54657996767213,4.89208118572076
12,['272A'],169.6373740370991,3.6393999756497037
13,['272A'],182.0633584631632,4.142531248240061
14,['272A'],147.63489387831578,25.25514930264437
15,['272A'],175.8562148984892,3.225191213598477
16,['272A'],151.2541155879848,7.203451814189229
17,['272A'],213.7071486528911,0.7895571879342208
18,['272A'],120.23568035452014,8.612442112188388
19,['272A'],187.32565217013553,20.459543130989733
20,['272A'],230.98540867224648,11.416421015629528
21,['272A'],160.16151133053697,3.2444109434497004
22,['272A'],188.36805418684338,15.23585489423326
23,['272A'],191.58089984126755,15.2001735669288
24,['272A'],145.02410222617655,14.245244934454002
25,['272A'],143.80035931639503,4.917088108719665
26,['272A'],225.39543381752392,15.848124944495602
27,['272A'],176.8107450113674,10.066788215337391
28,['272A'],182.81126442686775,41.193071311107865
29,['272A'],178.8002699350061,2.336879143750697
30,['272A'],138.25717582060938,5.388476417809352
31,['272A'],139.8490161815284,18.876249973875712
32,['272A'],242.54625451001854,10.7312986351953
33,['272A'],110.9055977045189,1.6141839787764007
34,['272A'],158.69909217617393,9.981389626032913
35,['272A'],160.55312459665961,11.724026806009677
36,['272A'],189.65507099475687,6.936868499638359
37,['272A'],172.74579996164078,32.011331239191186
38,['272A'],116.25099420377927,5.425371506474794
39,['272A'],106.31789730356745,4.68794079836617
40,['272A'],202.6529835317421,10.865746259991292
41,['272A'],149.93825106925223,4.903625718718592
42,['272A'],133.0972429481412,4.418594255729195
43,['272A'],164.5149470659922,13.219592176026932
44,['272A'],108.27109186399542,7.643167163622714
45,['272A'],230.22059601846001,10.485598232237999
46,['272A'],117.05548463604306,6.92489743094057
47,['272A'],157.76728268840242,6.460603629594355
48,['272A'],155.57144567865603,4.522025572486689
49,['272A'],292.2313429247036,64.22262850268808
50,['272A'],154.69770497370342,4.75805332679442
51,['272A'],142.83011490492026,5.428938420956762
52,['272A'],171.7422383189828,3.1155294503971804
53,['272A'],135.47617530847145,4.193794070485607
54,['272A'],180.38509968546694,12.447715773157686
55,['272A'],130.6151643795691,5.873460057358074
56,['272A'],221.84134309023932,16.91248408822513
57,['272A'],153.64048125699557,5.487325125576301
58,['272A'],147.1633799239301,2.1197682372594153
59,['272A'],154.26622913543656,8.40029540714992
60,['272A'],112.3292943358588,3.6160144140047215
61,['272A'],187.4177571930005,9.150005816550367
62,['272A'],177.2636397891842,24.08873400309493
63,['272A'],101.19039238235473,0.611241610826764
64,['272A'],144.45993117510275,10.020574530205073
65,['272A'],130.3639854625777,5.8646443355254805
66,['272A'],107.78063834758774,4.866314685802508
67,['272A'],145.02954244886166,4.438332646293229
68,['272A'],153.26502997647418,33.20538101030641
69,['272A'],155.22830081856105,27.803451387828616
70,['272A'],139.8147739417084,3.5038528269601197
71,['272A'],164.16380689844215,11.505091182834372
72,['272A'],144.4445819475102,7.792309868372105
73,['272A'],135.04276726747946,17.048732330322554
74,['272A'],210.70642639803737,33.341927003017865
75,['272A'],119.4375902211517,19.47008844014406
76,['272A'],179.6683374344239,5.726963795555169
77,['272A'],183.54128342687494,8.116886558062841
78,['272A'],199.17950223755042,14.185262058182573
79,['272A'],201.02687050596055,8.221065563893351
80,['272A'],247.99186599251723,7.9635016879240625
81,['272A'],149.5356764057123,4.717043594481154
82,['272A'],143.04731340108825,2.5913169256129676
83,['272A'],176.80651994374568,1.3495636162650584
84,['272A'],154.41292318757542,4.053618507625678
85,['272A'],242.38880980007116,14.243976832236216
86,['272A'],176.24777109072687,8.491643623825011
87,['272A'],125.06080965976801,3.3737601448049275
88,['272A'],137.64462393894112,6.255441946494714
89,['272A'],140.94159318819376,2.3511911220587374
90,['272A'],169.54895288286696,3.496660342949138
91,['272A'],170.14384279414395,7.940308633634671
92,['272A'],212.23426414048473,4.583705770904469
93,['272A'],326.0910536000104,55.625968224116114
94,['272A'],99.83083082407,3.6171258774365613
95,['272A'],166.520651152266,10.545923235619977
96,['272A'],155.30627663670987,15.00615468988155
97,['272A'],181.84138716988573,5.87388095994115
98,['272A'],155.14292804898787,17.037523563349183
99,['272A'],202.65868706032117,4.760313082018154
100,['272A'],190.6458723833405,5.128509732247868
