snapshot_ts,stop_id,route,direction,eta,eta_seq,data_timestamp,source_file
2025-11-05T06:07:49.503206+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:30:16+08:00,3,2025-11-05T14:07:16+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:08:19.632573+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:18:04+08:00,1,2025-11-05T14:08:16+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:08:19.632573+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:29:02+08:00,2,2025-11-05T14:08:16+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:08:19.632573+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:41:02+08:00,3,2025-11-05T14:08:16+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:08:19.632573+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:19:17+08:00,1,2025-11-05T14:08:16+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:08:19.632573+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:30:16+08:00,2,2025-11-05T14:08:16+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:08:19.632573+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:42:16+08:00,3,2025-11-05T14:08:16+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:08:50.902625+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:18:11+08:00,1,2025-11-05T14:08:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:08:50.902625+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:29:02+08:00,2,2025-11-05T14:08:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:08:50.902625+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:41:02+08:00,3,2025-11-05T14:08:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:08:50.902625+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:19:25+08:00,1,2025-11-05T14:08:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:08:50.902625+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:30:16+08:00,2,2025-11-05T14:08:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:08:50.902625+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:42:16+08:00,3,2025-11-05T14:08:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:09:21.065643+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:18:11+08:00,1,2025-11-05T14:08:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:09:21.065643+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:29:02+08:00,2,2025-11-05T14:08:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:09:21.065643+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:41:02+08:00,3,2025-11-05T14:08:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:09:21.065643+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:19:25+08:00,1,2025-11-05T14:08:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:09:21.065643+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:30:16+08:00,2,2025-11-05T14:08:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:09:21.065643+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:42:16+08:00,3,2025-11-05T14:08:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:09:51.141345+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:17:54+08:00,1,2025-11-05T14:09:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:09:51.141345+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:29:02+08:00,2,2025-11-05T14:09:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:09:51.141345+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:41:02+08:00,3,2025-11-05T14:09:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:09:51.141345+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:19:08+08:00,1,2025-11-05T14:09:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:09:51.141345+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:30:16+08:00,2,2025-11-05T14:09:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:09:51.141345+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:42:16+08:00,3,2025-11-05T14:09:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:10:21.517378+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:17:54+08:00,1,2025-11-05T14:09:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:10:21.517378+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:29:02+08:00,2,2025-11-05T14:09:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:10:21.517378+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:41:02+08:00,3,2025-11-05T14:09:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:10:21.517378+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:19:08+08:00,1,2025-11-05T14:09:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:10:21.517378+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:30:16+08:00,2,2025-11-05T14:09:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:10:21.517378+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:42:16+08:00,3,2025-11-05T14:09:45+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:10:51.641927+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:17:53+08:00,1,2025-11-05T14:10:46+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:10:51.641927+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:29:02+08:00,2,2025-11-05T14:10:46+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:10:51.641927+00:00,3F24CFF9046300D9,272A,O,2025-11-05T14:41:02+08:00,3,2025-11-05T14:10:46+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:10:51.641927+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:19:07+08:00,1,2025-11-05T14:10:46+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
2025-11-05T06:10:51.641927+00:00,B34F59A0270AEDA4,272A,O,2025-11-05T14:30:16+08:00,2,2025-11-05T14:10:46+08:00,vibeCoding101/PartX_simulation/monitor_outputs_1hr/monitor_summary_20251105_070549.csv
