simulation,routes,avg_waiting_time,avg_queue_time
1,['272X'],1675.4230015171754,0.0
2,['272X'],998.0214415880102,0.0
3,['272X'],37.52539680459951,0.0
4,['272X'],781.7632905948105,45.02790619197723
5,['272X'],0.0,0.0
6,['272X'],779.7262239328036,0.0
7,['272X'],626.168035352306,0.0
8,['272X'],2452.2604921573334,0.0
9,['272X'],1413.692177928665,0.0
10,['272X'],1210.5269100862129,0.0
11,['272X'],931.5614871785186,52.84593970819037
12,['272X'],586.8366010341532,0.0
13,['272X'],951.8345877078536,0.0
14,['272X'],2471.9107964930295,0.0
15,['272X'],1520.4337511877516,0.0
16,['272X'],2501.825872450359,0.0
17,['272X'],769.8863116575259,0.0
18,['272X'],1008.5417930992314,0.0
19,['272X'],2622.1813033342173,0.0
20,['272X'],1883.0280885405127,0.0
21,['272X'],1830.0909165860533,0.0
22,['272X'],852.2755496011245,9.195750018707713
23,['272X'],1552.434125516387,0.0
24,['272X'],713.2628867211259,103.2049520976952
25,['272X'],1778.3670356929222,0.0
26,['272X'],2533.5349805194887,0.0
27,['272X'],1893.5287216961121,0.0
28,['272X'],2943.858186032638,0.0
29,['272X'],942.5907366482012,0.0
30,['272X'],605.6417584824763,0.0
31,['272X'],1441.4704848619788,0.0
32,['272X'],1574.0709003045836,0.0
33,['272X'],1292.9948316979123,0.0
34,['272X'],591.4985409234075,30.67536301115606
35,['272X'],1022.6432924118978,0.0
36,['272X'],0.0,0.0
37,['272X'],3011.6073268141668,0.0
38,['272X'],530.0071941744327,0.0
39,['272X'],1229.0070784135514,70.76667298959694
40,['272X'],1000.1135436183534,0.0
41,['272X'],1719.7264591079563,0.0
42,['272X'],1178.1474979253335,55.65081693543732
43,['272X'],793.8933676673558,0.0
44,['272X'],328.1850958524342,0.0
45,['272X'],830.9896378230318,0.0
46,['272X'],449.61203934984525,0.0
47,['272X'],355.2250183995554,0.0
48,['272X'],694.5151555313817,0.0
49,['272X'],0.0,0.0
50,['272X'],2454.7665746647444,0.0
51,['272X'],529.4652210866273,0.0
52,['272X'],1438.992923258063,0.0
53,['272X'],0.0,0.0
54,['272X'],239.38788061301793,0.0
55,['272X'],740.1949370296211,0.0
56,['272X'],1873.6479783826649,0.0
57,['272X'],749.6955718436235,0.0
58,['272X'],0.0,0.0
59,['272X'],0.0,0.0
60,['272X'],1010.9028078462937,0.0
61,['272X'],1737.6972634679591,0.0
62,['272X'],1320.9432873041212,0.0
63,['272X'],1775.3771944994746,0.0
64,['272X'],275.1490056435601,0.0
65,['272X'],2434.974690624908,0.0
66,['272X'],439.64062149267795,0.0
67,['272X'],1356.5728117441781,0.0
68,['272X'],1268.4619187241829,0.0
69,['272X'],1022.1177146464809,0.0
70,['272X'],1214.9250176733524,0.0
71,['272X'],1664.4655419621092,0.0
72,['272X'],643.8828938043719,0.0
73,['272X'],391.45746903392865,0.0
74,['272X'],877.9315534682274,0.0
75,['272X'],1127.9369008016895,0.0
76,['272X'],1167.3410030981067,0.0
77,['272X'],1431.6411502593546,0.0
78,['272X'],2210.977598850736,0.0
79,['272X'],1425.9983289626707,0.0
80,['272X'],2784.332204876961,0.0
81,['272X'],1901.89797963068,0.0
82,['272X'],2144.411448829335,11.50356657974462
83,['272X'],1647.7355941716019,0.0
84,['272X'],472.06442092922805,0.0
85,['272X'],949.9696097673537,0.0
86,['272X'],1481.7945862607023,0.0
87,['272X'],1028.9137989498251,17.279151684094085
88,['272X'],168.019357331488,0.0
89,['272X'],10.026726253377337,0.0
90,['272X'],1107.6237108872745,21.517429843391483
91,['272X'],523.100583926169,0.0
92,['272X'],1851.2192808692441,0.0
93,['272X'],1271.737067492648,0.0
94,['272X'],1229.5927942119356,0.0
95,['272X'],3227.159098695443,0.0
96,['272X'],2025.934302284942,0.0
97,['272X'],1988.9323637478822,0.0
98,['272X'],1350.0634853763158,0.0
99,['272X'],863.8550889625128,62.65505337159963
100,['272X'],1429.1003533505832,0.0
