Path,Filename,Rows,Dates,Min_DateTime,Max_DateTime,Has_ETA_Data,Columns
vibeCoding101/PartX_simulation/presentation/travel_time_comparison/travel_deltas_peak.csv,travel_deltas_peak.csv,695,2025-11-03; 2025-11-04,2025-11-03T22:34:06.216383+00:00,2025-11-04T08:30:28+08:00,Yes,snapshot_ts; route; 3F24CFF9046300D9; B34F59A0270AEDA4; eta_A; eta_B; delta_s
vibeCoding101/PartX_simulation/route_allocation_summary.csv,route_allocation_summary.csv,300,,,,No,source_file; row_index; simulation; routes; avg_waiting_time; avg_queue_time; routes_list
vibeCoding101/PartX_simulation/route_pair_eta_20251028_050745.csv,route_pair_eta_20251028_050745.csv,18,2025-10-28,2025-10-28T13:07:16+08:00,2025-10-28T13:42:28+08:00,Yes,queried_stop_id; stop_name_en; stop_name_tc; route; direction; eta; eta_seq; data_timestamp
vibeCoding101/PartX_simulation/route_pair_eta_20251028_050803.csv,route_pair_eta_20251028_050803.csv,18,2025-10-28,2025-10-28T13:07:16+08:00,2025-10-28T13:42:28+08:00,Yes,queried_stop_id; stop_name_en; stop_name_tc; route; direction; eta; eta_seq; data_timestamp
vibeCoding101/PartX_simulation/route_pair_eta_20251028_050932.csv,route_pair_eta_20251028_050932.csv,18,2025-10-28,2025-10-28T13:08:46+08:00,2025-10-28T13:42:28+08:00,Yes,queried_stop_id; stop_name_en; stop_name_tc; route; direction; eta; eta_seq; data_timestamp
vibeCoding101/PartX_simulation/simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,simulation_results_allocated_stop_023E9E5A9E073E1A_morning_peak1.csv,100,,,,No,simulation; routes; avg_waiting_time; avg_queue_time
vibeCoding101/PartX_simulation/simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,simulation_results_allocated_stop_437CE05BCFE6248C_morning_peak1.csv,100,,,,No,simulation; routes; avg_waiting_time; avg_queue_time
vibeCoding101/PartX_simulation/simulation_results_allocated_stop_B34F59A0270AEDA4_morning_peak1.csv,simulation_results_allocated_stop_B34F59A0270AEDA4_morning_peak1.csv,100,,,,No,simulation; routes; avg_waiting_time; avg_queue_time
vibeCoding101/PartX_simulation/simulation_results_baseline_stop_023E9E5A9E073E1A_morning_peak1.csv,simulation_results_baseline_stop_023E9E5A9E073E1A_morning_peak1.csv,100,,,,No,simulation; routes; avg_waiting_time; avg_queue_time
vibeCoding101/PartX_simulation/simulation_results_baseline_stop_33ABA49F0E91A247_morning_peak1.csv,simulation_results_baseline_stop_33ABA49F0E91A247_morning_peak1.csv,100,,,,No,simulation; routes; avg_waiting_time; avg_queue_time
vibeCoding101/PartX_simulation/simulation_results_baseline_stop_3F24CFF9046300D9_morning_peak1.csv,simulation_results_baseline_stop_3F24CFF9046300D9_morning_peak1.csv,100,,,,No,simulation; routes; avg_waiting_time; avg_queue_time
vibeCoding101/PartX_simulation/simulation_results_baseline_stop_437CE05BCFE6248C_morning_peak1.csv,simulation_results_baseline_stop_437CE05BCFE6248C_morning_peak1.csv,100,,,,No,simulation; routes; avg_waiting_time; avg_queue_time
vibeCoding101/PartX_simulation/simulation_results_baseline_stop_4A0ECA0D5AA4CB7E_morning_peak1.csv,simulation_results_baseline_stop_4A0ECA0D5AA4CB7E_morning_peak1.csv,100,,,,No,simulation; routes; avg_waiting_time; avg_queue_time
vibeCoding101/PartX_simulation/simulation_results_baseline_stop_B34F59A0270AEDA4_morning_peak1.csv,simulation_results_baseline_stop_B34F59A0270AEDA4_morning_peak1.csv,100,,,,No,simulation; routes; avg_waiting_time; avg_queue_time
