snapshot_ts,route,3F24CFF9046300D9,B34F59A0270AEDA4,eta_A,eta_B,delta_s
2025-10-31 05:38:21.199582+00:00,272A,2025-10-31 13:43:32+08:00,2025-10-31 13:44:50+08:00,2025-10-31 13:43:32+08:00,2025-10-31 13:44:50+08:00,78.0
2025-10-31 05:38:51.459819+00:00,272A,2025-10-31 13:43:32+08:00,2025-10-31 13:44:50+08:00,2025-10-31 13:43:32+08:00,2025-10-31 13:44:50+08:00,78.0
2025-10-31 05:39:21.564310+00:00,272A,2025-10-31 13:43:32+08:00,2025-10-31 13:44:50+08:00,2025-10-31 13:43:32+08:00,2025-10-31 13:44:50+08:00,78.0
2025-10-31 05:39:51.676429+00:00,272A,2025-10-31 13:43:32+08:00,2025-10-31 13:44:50+08:00,2025-10-31 13:43:32+08:00,2025-10-31 13:44:50+08:00,78.0
2025-10-31 05:40:21.754083+00:00,272A,2025-10-31 13:43:33+08:00,2025-10-31 13:44:51+08:00,2025-10-31 13:43:33+08:00,2025-10-31 13:44:51+08:00,78.0
2025-10-31 05:40:51.915933+00:00,272A,2025-10-31 13:43:25+08:00,2025-10-31 13:44:51+08:00,2025-10-31 13:43:25+08:00,2025-10-31 13:44:51+08:00,86.0
2025-10-31 05:41:22.025189+00:00,272A,2025-10-31 13:43:25+08:00,2025-10-31 13:44:51+08:00,2025-10-31 13:43:25+08:00,2025-10-31 13:44:51+08:00,86.0
2025-10-31 05:41:52.090426+00:00,272A,2025-10-31 13:43:25+08:00,2025-10-31 13:44:43+08:00,2025-10-31 13:43:25+08:00,2025-10-31 13:44:43+08:00,78.0
2025-10-31 05:42:22.243127+00:00,272A,2025-10-31 13:43:25+08:00,2025-10-31 13:44:43+08:00,2025-10-31 13:43:25+08:00,2025-10-31 13:44:43+08:00,78.0
2025-10-31 05:42:52.380694+00:00,272A,2025-10-31 13:43:25+08:00,2025-10-31 13:44:43+08:00,2025-10-31 13:43:25+08:00,2025-10-31 13:44:43+08:00,78.0
2025-10-31 05:43:22.534769+00:00,272A,2025-10-31 13:43:25+08:00,2025-10-31 13:44:43+08:00,2025-10-31 13:43:25+08:00,2025-10-31 13:44:43+08:00,78.0
2025-10-31 05:45:24.011152+00:00,272A,2025-10-31 13:54:17+08:00,2025-10-31 13:55:35+08:00,2025-10-31 13:54:17+08:00,2025-10-31 13:55:35+08:00,78.0
2025-10-31 05:45:54.167100+00:00,272A,2025-10-31 13:54:17+08:00,2025-10-31 13:55:35+08:00,2025-10-31 13:54:17+08:00,2025-10-31 13:55:35+08:00,78.0
2025-10-31 05:46:24.281541+00:00,272A,2025-10-31 13:54:17+08:00,2025-10-31 13:55:35+08:00,2025-10-31 13:54:17+08:00,2025-10-31 13:55:35+08:00,78.0
2025-10-31 05:47:54.623442+00:00,272A,2025-10-31 13:52:53+08:00,2025-10-31 13:54:11+08:00,2025-10-31 13:52:53+08:00,2025-10-31 13:54:11+08:00,78.0
2025-10-31 05:48:24.776983+00:00,272A,2025-10-31 13:52:53+08:00,2025-10-31 13:54:11+08:00,2025-10-31 13:52:53+08:00,2025-10-31 13:54:11+08:00,78.0
2025-10-31 05:48:54.844921+00:00,272A,2025-10-31 13:52:53+08:00,2025-10-31 13:54:11+08:00,2025-10-31 13:52:53+08:00,2025-10-31 13:54:11+08:00,78.0
2025-10-31 05:49:25.020143+00:00,272A,2025-10-31 13:52:53+08:00,2025-10-31 13:54:11+08:00,2025-10-31 13:52:53+08:00,2025-10-31 13:54:11+08:00,78.0
2025-10-31 05:49:55.172225+00:00,272A,2025-10-31 13:52:53+08:00,2025-10-31 13:54:11+08:00,2025-10-31 13:52:53+08:00,2025-10-31 13:54:11+08:00,78.0
2025-10-31 05:50:25.328379+00:00,272A,2025-10-31 13:52:53+08:00,2025-10-31 13:54:11+08:00,2025-10-31 13:52:53+08:00,2025-10-31 13:54:11+08:00,78.0
2025-10-31 05:50:55.457645+00:00,272A,2025-10-31 13:53:11+08:00,2025-10-31 13:54:29+08:00,2025-10-31 13:53:11+08:00,2025-10-31 13:54:29+08:00,78.0
2025-10-31 05:51:25.649589+00:00,272A,2025-10-31 13:53:11+08:00,2025-10-31 13:54:29+08:00,2025-10-31 13:53:11+08:00,2025-10-31 13:54:29+08:00,78.0
2025-10-31 05:51:55.769091+00:00,272A,2025-10-31 13:53:11+08:00,2025-10-31 13:54:29+08:00,2025-10-31 13:53:11+08:00,2025-10-31 13:54:29+08:00,78.0
2025-10-31 05:52:25.874531+00:00,272A,2025-10-31 13:53:11+08:00,2025-10-31 13:54:29+08:00,2025-10-31 13:53:11+08:00,2025-10-31 13:54:29+08:00,78.0
2025-10-31 05:52:56.275680+00:00,272A,2025-10-31 13:53:11+08:00,2025-10-31 13:54:29+08:00,2025-10-31 13:53:11+08:00,2025-10-31 13:54:29+08:00,78.0
2025-10-31 05:54:27.484830+00:00,272A,2025-10-31 14:06:18+08:00,2025-10-31 14:08:03+08:00,2025-10-31 14:06:18+08:00,2025-10-31 14:08:03+08:00,105.0
2025-10-31 05:54:57.668317+00:00,272A,2025-10-31 14:06:44+08:00,2025-10-31 14:08:03+08:00,2025-10-31 14:06:44+08:00,2025-10-31 14:08:03+08:00,79.0
2025-10-31 05:55:28.106580+00:00,272A,2025-10-31 14:06:44+08:00,2025-10-31 14:08:03+08:00,2025-10-31 14:06:44+08:00,2025-10-31 14:08:03+08:00,79.0
2025-10-31 05:55:58.282088+00:00,272A,2025-10-31 14:06:44+08:00,2025-10-31 14:08:03+08:00,2025-10-31 14:06:44+08:00,2025-10-31 14:08:03+08:00,79.0
2025-10-31 05:56:28.356693+00:00,272A,2025-10-31 14:06:44+08:00,2025-10-31 14:08:03+08:00,2025-10-31 14:06:44+08:00,2025-10-31 14:08:03+08:00,79.0
2025-10-31 05:56:58.519973+00:00,272A,2025-10-31 14:06:44+08:00,2025-10-31 14:08:03+08:00,2025-10-31 14:06:44+08:00,2025-10-31 14:08:03+08:00,79.0
2025-10-31 05:57:28.604970+00:00,272A,2025-10-31 14:04:35+08:00,2025-10-31 14:05:54+08:00,2025-10-31 14:04:35+08:00,2025-10-31 14:05:54+08:00,79.0
2025-10-31 05:57:58.755994+00:00,272A,2025-10-31 14:04:35+08:00,2025-10-31 14:05:54+08:00,2025-10-31 14:04:35+08:00,2025-10-31 14:05:54+08:00,79.0
2025-10-31 05:58:28.875911+00:00,272A,2025-10-31 14:04:59+08:00,2025-10-31 14:06:17+08:00,2025-10-31 14:04:59+08:00,2025-10-31 14:06:17+08:00,78.0
2025-10-31 05:59:00.002668+00:00,272A,2025-10-31 14:04:59+08:00,2025-10-31 14:06:17+08:00,2025-10-31 14:04:59+08:00,2025-10-31 14:06:17+08:00,78.0
2025-10-31 05:59:30.160076+00:00,272A,2025-10-31 14:04:59+08:00,2025-10-31 14:06:17+08:00,2025-10-31 14:04:59+08:00,2025-10-31 14:06:17+08:00,78.0
2025-10-31 06:00:00.310514+00:00,272A,2025-10-31 14:04:59+08:00,2025-10-31 14:06:17+08:00,2025-10-31 14:04:59+08:00,2025-10-31 14:06:17+08:00,78.0
2025-10-31 06:00:30.704142+00:00,272A,2025-10-31 14:04:59+08:00,2025-10-31 14:06:17+08:00,2025-10-31 14:04:59+08:00,2025-10-31 14:06:17+08:00,78.0
2025-10-31 06:01:00.872623+00:00,272A,2025-10-31 14:04:59+08:00,2025-10-31 14:06:17+08:00,2025-10-31 14:04:59+08:00,2025-10-31 14:06:17+08:00,78.0
2025-10-31 06:01:31.054902+00:00,272A,2025-10-31 14:04:59+08:00,2025-10-31 14:05:48+08:00,2025-10-31 14:04:59+08:00,2025-10-31 14:05:48+08:00,49.0
2025-10-31 06:02:01.192273+00:00,272A,2025-10-31 14:04:30+08:00,2025-10-31 14:05:48+08:00,2025-10-31 14:04:30+08:00,2025-10-31 14:05:48+08:00,78.0
2025-10-31 06:02:31.616662+00:00,272A,2025-10-31 14:04:30+08:00,2025-10-31 14:05:48+08:00,2025-10-31 14:04:30+08:00,2025-10-31 14:05:48+08:00,78.0
2025-10-31 06:03:01.814884+00:00,272A,2025-10-31 14:04:20+08:00,2025-10-31 14:05:39+08:00,2025-10-31 14:04:20+08:00,2025-10-31 14:05:39+08:00,79.0
2025-10-31 06:03:32.159749+00:00,272A,2025-10-31 14:04:20+08:00,2025-10-31 14:05:39+08:00,2025-10-31 14:04:20+08:00,2025-10-31 14:05:39+08:00,79.0
2025-10-31 06:04:02.277174+00:00,272A,2025-10-31 14:04:25+08:00,2025-10-31 14:05:43+08:00,2025-10-31 14:04:25+08:00,2025-10-31 14:05:43+08:00,78.0
2025-10-31 06:06:02.769337+00:00,272A,2025-10-31 14:19:20+08:00,2025-10-31 14:20:38+08:00,2025-10-31 14:19:20+08:00,2025-10-31 14:20:38+08:00,78.0
2025-10-31 06:06:32.878189+00:00,272A,2025-10-31 14:19:20+08:00,2025-10-31 14:20:38+08:00,2025-10-31 14:19:20+08:00,2025-10-31 14:20:38+08:00,78.0
2025-10-31 06:07:02.991431+00:00,272A,2025-10-31 14:19:20+08:00,2025-10-31 14:20:38+08:00,2025-10-31 14:19:20+08:00,2025-10-31 14:20:38+08:00,78.0
2025-10-31 06:07:33.117626+00:00,272A,2025-10-31 14:19:18+08:00,2025-10-31 14:20:38+08:00,2025-10-31 14:19:18+08:00,2025-10-31 14:20:38+08:00,80.0
2025-10-31 06:08:03.239982+00:00,272A,2025-10-31 14:19:18+08:00,2025-10-31 14:19:55+08:00,2025-10-31 14:19:18+08:00,2025-10-31 14:19:55+08:00,37.0
2025-10-31 06:08:33.360651+00:00,272A,2025-10-31 14:18:37+08:00,2025-10-31 14:19:55+08:00,2025-10-31 14:18:37+08:00,2025-10-31 14:19:55+08:00,78.0
2025-10-31 06:09:03.470140+00:00,272A,2025-10-31 14:18:37+08:00,2025-10-31 14:19:55+08:00,2025-10-31 14:18:37+08:00,2025-10-31 14:19:55+08:00,78.0
2025-10-31 06:09:33.551135+00:00,272A,2025-10-31 14:18:37+08:00,2025-10-31 14:19:55+08:00,2025-10-31 14:18:37+08:00,2025-10-31 14:19:55+08:00,78.0
2025-10-31 06:10:03.759897+00:00,272A,2025-10-31 14:18:37+08:00,2025-10-31 14:19:55+08:00,2025-10-31 14:18:37+08:00,2025-10-31 14:19:55+08:00,78.0
2025-10-31 06:10:33.851268+00:00,272A,2025-10-31 14:18:37+08:00,2025-10-31 14:19:55+08:00,2025-10-31 14:18:37+08:00,2025-10-31 14:19:55+08:00,78.0
2025-10-31 06:11:04.110806+00:00,272A,2025-10-31 14:18:37+08:00,2025-10-31 14:19:55+08:00,2025-10-31 14:18:37+08:00,2025-10-31 14:19:55+08:00,78.0
2025-10-31 06:11:34.308790+00:00,272A,2025-10-31 14:19:33+08:00,2025-10-31 14:20:51+08:00,2025-10-31 14:19:33+08:00,2025-10-31 14:20:51+08:00,78.0
2025-10-31 06:12:04.534932+00:00,272A,2025-10-31 14:19:33+08:00,2025-10-31 14:20:51+08:00,2025-10-31 14:19:33+08:00,2025-10-31 14:20:51+08:00,78.0
2025-10-31 06:12:34.600526+00:00,272A,2025-10-31 14:19:33+08:00,2025-10-31 14:20:51+08:00,2025-10-31 14:19:33+08:00,2025-10-31 14:20:51+08:00,78.0
2025-10-31 06:13:04.854730+00:00,272A,2025-10-31 14:19:33+08:00,2025-10-31 14:20:51+08:00,2025-10-31 14:19:33+08:00,2025-10-31 14:20:51+08:00,78.0
2025-10-31 06:13:35.068334+00:00,272A,2025-10-31 14:19:33+08:00,2025-10-31 14:20:51+08:00,2025-10-31 14:19:33+08:00,2025-10-31 14:20:51+08:00,78.0
2025-10-31 06:14:05.150949+00:00,272A,2025-10-31 14:19:33+08:00,2025-10-31 14:20:51+08:00,2025-10-31 14:19:33+08:00,2025-10-31 14:20:51+08:00,78.0
2025-10-31 06:14:35.303964+00:00,272A,2025-10-31 14:19:33+08:00,2025-10-31 14:20:51+08:00,2025-10-31 14:19:33+08:00,2025-10-31 14:20:51+08:00,78.0
2025-10-31 06:15:05.370517+00:00,272A,2025-10-31 14:19:44+08:00,2025-10-31 14:21:03+08:00,2025-10-31 14:19:44+08:00,2025-10-31 14:21:03+08:00,79.0
2025-10-31 06:15:35.905975+00:00,272A,2025-10-31 14:19:44+08:00,2025-10-31 14:21:03+08:00,2025-10-31 14:19:44+08:00,2025-10-31 14:21:03+08:00,79.0
2025-10-31 06:16:06.063950+00:00,272A,2025-10-31 14:19:44+08:00,2025-10-31 14:21:03+08:00,2025-10-31 14:19:44+08:00,2025-10-31 14:21:03+08:00,79.0
2025-10-31 06:16:36.197180+00:00,272A,2025-10-31 14:19:44+08:00,2025-10-31 14:21:03+08:00,2025-10-31 14:19:44+08:00,2025-10-31 14:21:03+08:00,79.0
2025-10-31 06:17:06.358171+00:00,272A,2025-10-31 14:19:44+08:00,2025-10-31 14:21:03+08:00,2025-10-31 14:19:44+08:00,2025-10-31 14:21:03+08:00,79.0
2025-10-31 06:17:36.463907+00:00,272A,2025-10-31 14:19:44+08:00,2025-10-31 14:21:03+08:00,2025-10-31 14:19:44+08:00,2025-10-31 14:21:03+08:00,79.0
2025-10-31 06:18:06.535804+00:00,272A,2025-10-31 14:19:28+08:00,2025-10-31 14:20:46+08:00,2025-10-31 14:19:28+08:00,2025-10-31 14:20:46+08:00,78.0
2025-10-31 06:18:36.699424+00:00,272A,2025-10-31 14:19:28+08:00,2025-10-31 14:20:46+08:00,2025-10-31 14:19:28+08:00,2025-10-31 14:20:46+08:00,78.0
2025-10-31 06:19:06.768109+00:00,272A,2025-10-31 14:19:28+08:00,2025-10-31 14:20:43+08:00,2025-10-31 14:19:28+08:00,2025-10-31 14:20:43+08:00,75.0
