simulation,routes,avg_waiting_time,avg_queue_time
1,['74D'],929.4388689337942,0.0
2,['74D'],614.3482028571908,0.0
3,['74D'],989.3660695887244,0.0
4,['74D'],1698.6956912523465,0.0
5,['74D'],768.5120280602127,0.0
6,['74D'],1896.7375003581667,0.0
7,['74D'],920.62100009034,0.0
8,['74D'],1778.9511550945927,0.0
9,['74D'],847.9088757380106,0.0
10,['74D'],1161.263888003165,0.0
11,['74D'],1165.727170991395,0.0
12,['74D'],1801.6089551246328,0.0
13,['74D'],1284.2142236101454,123.69274773349753
14,['74D'],1623.979268354646,0.0
15,['74D'],0.0,0.0
16,['74D'],1094.0387504718178,0.0
17,['74D'],1415.110028646175,0.0
18,['74D'],753.5471175888338,0.0
19,['74D'],1762.6513579941457,0.0
20,['74D'],808.3917898248998,0.0
21,['74D'],0.0,0.0
22,['74D'],330.5129975909715,0.0
23,['74D'],97.02761643765477,0.0
24,['74D'],787.7915135015459,0.0
25,['74D'],2317.1483334925683,0.0
26,['74D'],1031.4905919225853,0.0
27,['74D'],806.7156243516533,0.0
28,['74D'],969.3324922045837,0.0
29,['74D'],928.6616048569166,0.0
30,['74D'],2371.3369061444305,0.0
31,['74D'],1711.935168989714,0.0
32,['74D'],716.9599511850992,37.561408310404964
33,['74D'],1281.433857547841,0.0
34,['74D'],0.0,0.0
35,['74D'],1307.2763564495424,0.0
36,['74D'],1754.9448757670625,0.0
37,['74D'],431.3472996633782,0.0
38,['74D'],523.3411906349731,0.0
39,['74D'],1587.9325062288945,0.0
40,['74D'],1144.4443410080355,0.0
41,['74D'],2651.9616855967956,0.0
42,['74D'],1424.0464946800794,0.0
43,['74D'],1124.7092188146294,0.0
44,['74D'],1286.8527117702745,0.0
45,['74D'],1960.412978461873,0.0
46,['74D'],1237.8674653255682,0.10231430239491601
47,['74D'],1877.17029517407,0.0
48,['74D'],1596.357352539793,0.0
49,['74D'],1718.787543207847,0.0
50,['74D'],0.0,0.0
51,['74D'],949.4706986319459,47.8588979893054
52,['74D'],2031.3778870669946,0.0
53,['74D'],1640.8117050407466,0.0
54,['74D'],1022.8977906527386,0.0
55,['74D'],1298.0092712955043,0.0
56,['74D'],686.1333576088704,0.0
57,['74D'],921.7642240644162,0.0
58,['74D'],1321.0341220541509,0.0
59,['74D'],637.8921817819165,0.0
60,['74D'],0.0,0.0
61,['74D'],3094.5936509385133,0.0
62,['74D'],490.43233411307557,0.0
63,['74D'],2901.9959318235547,0.0
64,['74D'],2534.575319981019,0.0
65,['74D'],1222.6165519015744,0.0
66,['74D'],892.5604300713405,0.0
67,['74D'],1398.1268812577493,0.0
68,['74D'],856.6381808245711,0.0
69,['74D'],1142.495862992488,0.0
70,['74D'],0.0,0.0
71,['74D'],0.0,0.0
72,['74D'],676.2596082108956,0.0
73,['74D'],1780.16648865252,0.0
74,['74D'],634.1135974288474,0.0
75,['74D'],1293.6550394516737,0.0
76,['74D'],2907.486443089437,0.0
77,['74D'],2190.4909789557173,0.0
78,['74D'],0.0,0.0
79,['74D'],1528.0916975002979,0.0
80,['74D'],1740.6932283561894,0.0
81,['74D'],2416.958657402135,0.0
82,['74D'],1421.578703955926,0.0
83,['74D'],0.0,0.0
84,['74D'],0.0,0.0
85,['74D'],592.8378285326129,0.0
86,['74D'],1291.9924454332966,0.0
87,['74D'],1012.7216832415186,0.0
88,['74D'],2153.511663484749,0.0
89,['74D'],602.0523919655176,0.0
90,['74D'],2508.6448495452696,0.0
91,['74D'],1081.309746461378,0.0
92,['74D'],411.4673788019522,0.0
93,['74D'],577.9437574716893,0.0
94,['74D'],2776.496241031481,0.0
95,['74D'],531.2867014008547,0.0
96,['74D'],0.0,0.0
97,['74D'],1916.4917597323827,0.0
98,['74D'],1096.375953904031,0.0
99,['74D'],2515.5001496863083,0.0
100,['74D'],2740.825974981279,0.0
