snapshot_ts,route,3F24CFF9046300D9,B34F59A0270AEDA4,eta_A,eta_B,delta_s
2025-11-03 22:40:08.330785+00:00,272A,2025-11-04 06:44:28+08:00,2025-11-04 06:46:04+08:00,2025-11-04 06:44:28+08:00,2025-11-04 06:46:04+08:00,96.0
2025-11-03 22:40:08.330785+00:00,274,2025-11-04 07:09:52+08:00,2025-11-04 07:11:19+08:00,2025-11-04 07:09:52+08:00,2025-11-04 07:11:19+08:00,87.0
2025-11-03 22:40:08.330785+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:40:08.330785+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:40:38.460926+00:00,272A,2025-11-04 06:44:29+08:00,2025-11-04 06:46:05+08:00,2025-11-04 06:44:29+08:00,2025-11-04 06:46:05+08:00,96.0
2025-11-03 22:40:38.460926+00:00,274,2025-11-04 07:09:52+08:00,2025-11-04 07:11:19+08:00,2025-11-04 07:09:52+08:00,2025-11-04 07:11:19+08:00,87.0
2025-11-03 22:40:38.460926+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:40:38.460926+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:41:08.629030+00:00,272A,2025-11-04 06:44:29+08:00,2025-11-04 06:46:05+08:00,2025-11-04 06:44:29+08:00,2025-11-04 06:46:05+08:00,96.0
2025-11-03 22:41:08.629030+00:00,274,2025-11-04 07:09:52+08:00,2025-11-04 07:11:19+08:00,2025-11-04 07:09:52+08:00,2025-11-04 07:11:19+08:00,87.0
2025-11-03 22:41:08.629030+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:41:08.629030+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:41:38.752005+00:00,272A,2025-11-04 06:44:23+08:00,2025-11-04 06:45:59+08:00,2025-11-04 06:44:23+08:00,2025-11-04 06:45:59+08:00,96.0
2025-11-03 22:41:38.752005+00:00,274,2025-11-04 07:09:27+08:00,2025-11-04 07:10:42+08:00,2025-11-04 07:09:27+08:00,2025-11-04 07:10:42+08:00,75.0
2025-11-03 22:41:38.752005+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:41:38.752005+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:42:08.912535+00:00,272A,2025-11-04 06:44:23+08:00,2025-11-04 06:45:59+08:00,2025-11-04 06:44:23+08:00,2025-11-04 06:45:59+08:00,96.0
2025-11-03 22:42:08.912535+00:00,274,2025-11-04 07:09:27+08:00,2025-11-04 07:10:34+08:00,2025-11-04 07:09:27+08:00,2025-11-04 07:10:34+08:00,67.0
2025-11-03 22:42:08.912535+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:42:08.912535+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:42:39.109137+00:00,272A,2025-11-04 06:44:23+08:00,2025-11-04 06:45:59+08:00,2025-11-04 06:44:23+08:00,2025-11-04 06:45:59+08:00,96.0
2025-11-03 22:42:39.109137+00:00,274,2025-11-04 07:09:18+08:00,2025-11-04 07:10:34+08:00,2025-11-04 07:09:18+08:00,2025-11-04 07:10:34+08:00,76.0
2025-11-03 22:42:39.109137+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:42:39.109137+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:43:09.278082+00:00,272A,2025-11-04 06:44:23+08:00,2025-11-04 06:45:59+08:00,2025-11-04 06:44:23+08:00,2025-11-04 06:45:59+08:00,96.0
2025-11-03 22:43:09.278082+00:00,274,2025-11-04 07:09:18+08:00,2025-11-04 07:10:27+08:00,2025-11-04 07:09:18+08:00,2025-11-04 07:10:27+08:00,69.0
2025-11-03 22:43:09.278082+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:43:09.278082+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:43:39.426275+00:00,272A,2025-11-04 06:44:28+08:00,2025-11-04 06:45:59+08:00,2025-11-04 06:44:28+08:00,2025-11-04 06:45:59+08:00,91.0
2025-11-03 22:43:39.426275+00:00,274,2025-11-04 07:08:44+08:00,2025-11-04 07:10:27+08:00,2025-11-04 07:08:44+08:00,2025-11-04 07:10:27+08:00,103.0
2025-11-03 22:43:39.426275+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:43:39.426275+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:44:09.621100+00:00,272A,2025-11-04 06:44:28+08:00,2025-11-04 06:45:59+08:00,2025-11-04 06:44:28+08:00,2025-11-04 06:45:59+08:00,91.0
2025-11-03 22:44:09.621100+00:00,274,2025-11-04 07:08:44+08:00,2025-11-04 07:10:27+08:00,2025-11-04 07:08:44+08:00,2025-11-04 07:10:27+08:00,103.0
