simulation,routes,avg_waiting_time,avg_queue_time
1,"['272X', '900']",1675.6044792816476,0.0
2,"['272X', '900']",2193.621795924044,0.0
3,"['272X', '900']",1450.539347679409,211.31352547778465
4,"['272X', '900']",1173.235429715844,0.0
5,"['272X', '900']",1343.744589727263,0.0
6,"['272X', '900']",914.8894806374678,0.0
7,"['272X', '900']",1433.1085392440266,0.0
8,"['272X', '900']",1331.2477953175105,0.0
9,"['272X', '900']",481.68788851963666,0.0
10,"['272X', '900']",1371.3444408062219,0.0
11,"['272X', '900']",1094.3396779538916,0.0
12,"['272X', '900']",1980.2030014892762,0.0
13,"['272X', '900']",575.2803800325206,6.964486317885303
14,"['272X', '900']",1354.319381054458,0.0
15,"['272X', '900']",1308.0766408514185,0.0
16,"['272X', '900']",1606.087103087662,0.0
17,"['272X', '900']",522.0767923667763,0.0
18,"['272X', '900']",646.1105981708216,0.0
19,"['272X', '900']",869.5929925887359,0.0
20,"['272X', '900']",1035.1219183538242,0.0
21,"['272X', '900']",1743.1565716095022,0.0
22,"['272X', '900']",1036.8934241876775,0.0
23,"['272X', '900']",2138.165959258999,0.0
24,"['272X', '900']",1683.0991682650233,0.0
25,"['272X', '900']",825.3959305499477,0.0
26,"['272X', '900']",580.1713163699819,0.0
27,"['272X', '900']",1187.9493311057188,113.56956161540465
28,"['272X', '900']",2647.996761554385,0.0
29,"['272X', '900']",581.7429694871088,0.8053907118457175
30,"['272X', '900']",1569.7247427285674,0.0
31,"['272X', '900']",1207.9205700235505,0.0
32,"['272X', '900']",1271.8985686060937,7.094216681979742
33,"['272X', '900']",628.9591122566728,0.0
34,"['272X', '900']",1005.2653363697974,0.0
35,"['272X', '900']",1266.6845851381754,0.0
36,"['272X', '900']",1045.7790337508197,0.0
37,"['272X', '900']",702.2669111444831,28.304845288351906
38,"['272X', '900']",1429.4905123798028,0.0
39,"['272X', '900']",1157.735349935261,0.0
40,"['272X', '900']",1328.389949275891,0.0
41,"['272X', '900']",1767.608438041866,0.0
42,"['272X', '900']",736.1771699686196,0.0
43,"['272X', '900']",1566.671020845469,0.0
44,"['272X', '900']",1498.41879333724,0.0
45,"['272X', '900']",885.5178635081162,7.995346159697744
46,"['272X', '900']",921.1041974962059,0.0
47,"['272X', '900']",1504.0658510193812,0.0
48,"['272X', '900']",1437.9444310572965,0.0
49,"['272X', '900']",897.7521758122771,43.383978317958736
50,"['272X', '900']",675.2983678719606,17.225751351267036
51,"['272X', '900']",1398.0185987144519,0.0
52,"['272X', '900']",1031.439396227379,312.0974782946299
53,"['272X', '900']",385.1144869487739,0.0
54,"['272X', '900']",1564.528348287877,0.0
55,"['272X', '900']",485.3491933094245,0.0
56,"['272X', '900']",946.1431144391712,0.0
57,"['272X', '900']",443.90877274475685,0.0
58,"['272X', '900']",800.7200183591864,22.08681693539217
59,"['272X', '900']",1223.6043337027168,0.0
60,"['272X', '900']",1394.20313231672,0.0
61,"['272X', '900']",1058.8346946808585,0.0
62,"['272X', '900']",1978.7022005592949,0.0
63,"['272X', '900']",1222.953131929021,0.0
64,"['272X', '900']",680.2288865756667,0.0
65,"['272X', '900']",1116.64265490092,0.0
66,"['272X', '900']",1381.741824457139,0.0
67,"['272X', '900']",942.1379060723091,0.0
68,"['272X', '900']",1067.157272417587,0.0
69,"['272X', '900']",1065.1484991698849,0.0
70,"['272X', '900']",796.594763608462,0.0
71,"['272X', '900']",710.500377563499,0.0
72,"['272X', '900']",811.1997406176188,0.0
73,"['272X', '900']",766.6864957791515,1.495576721690199
74,"['272X', '900']",1718.1543626744124,0.0
75,"['272X', '900']",1625.866506100599,10.309576261499842
76,"['272X', '900']",2448.105178815102,0.0
77,"['272X', '900']",733.1354966411242,0.0
78,"['272X', '900']",1153.8153300278277,0.0
79,"['272X', '900']",1699.908573941569,0.0
80,"['272X', '900']",1125.9543333121237,0.0
81,"['272X', '900']",885.8278467803908,0.0
82,"['272X', '900']",475.64037483522156,0.0
83,"['272X', '900']",1029.8353495008728,0.0
84,"['272X', '900']",996.4069671626363,11.14480319197057
85,"['272X', '900']",1130.8858119941287,0.0
86,"['272X', '900']",1163.2363739868576,0.0
87,"['272X', '900']",559.0002753493425,56.03255247783104
88,"['272X', '900']",774.3768999096344,0.0
89,"['272X', '900']",842.0882719453613,0.0
90,"['272X', '900']",1588.8427785664487,0.0
91,"['272X', '900']",610.5121699131248,0.0
92,"['272X', '900']",1406.446973316307,30.079173152848778
93,"['272X', '900']",1669.6746609661761,0.0
94,"['272X', '900']",1012.4950835926722,0.0
95,"['272X', '900']",689.9641989724032,0.0
96,"['272X', '900']",1868.2919206270244,0.0
97,"['272X', '900']",1152.399230468668,0.0
98,"['272X', '900']",1092.7142881647655,14.237111447465214
99,"['272X', '900']",1036.5709938060972,7.28377864211878
100,"['272X', '900']",1610.9580702912472,0.0
